sequence_id,active_region,sequence_name,sequence_path,num_images,last_image_path,label_index,label_name,label_status
11885/2013_10_27_12_00_00_0,11885,2013_10_27_12_00_00_0,data\raw\SDOBenchmark_full\training\11885\2013_10_27_12_00_00_0,40,data\raw\SDOBenchmark_full\training\11885\2013_10_27_12_00_00_0\2013-10-27T115000__1700.jpg,1,QUIET,resolved
12203/2014_11_02_21_25_00_1,12203,2014_11_02_21_25_00_1,data\raw\SDOBenchmark_full\training\12203\2014_11_02_21_25_00_1,40,data\raw\SDOBenchmark_full\training\12203\2014_11_02_21_25_00_1\2014-11-04T013036__1700.jpg,1,QUIET,resolved
12564/2016_07_09_12_00_00_0,12564,2016_07_09_12_00_00_0,data\raw\SDOBenchmark_full\training\12564\2016_07_09_12_00_00_0,40,data\raw\SDOBenchmark_full\training\12564\2016_07_09_12_00_00_0\2016-07-09T115000__1700.jpg,0,FLARE,resolved
11955/2014_01_25_04_42_00_0,11955,2014_01_25_04_42_00_0,data\raw\SDOBenchmark_full\training\11955\2014_01_25_04_42_00_0,40,data\raw\SDOBenchmark_full\training\11955\2014_01_25_04_42_00_0\2014-01-25T043200__1700.jpg,1,QUIET,resolved
12335/2015_05_01_21_53_00_0,12335,2015_05_01_21_53_00_0,data\raw\SDOBenchmark_full\training\12335\2015_05_01_21_53_00_0,40,data\raw\SDOBenchmark_full\training\12335\2015_05_01_21_53_00_0\2015-05-01T214300__1700.jpg,1,QUIET,resolved
12253/2015_01_02_06_04_01_0,12253,2015_01_02_06_04_01_0,data\raw\SDOBenchmark_full\training\12253\2015_01_02_06_04_01_0,40,data\raw\SDOBenchmark_full\training\12253\2015_01_02_06_04_01_0\2015-01-02T055401__1700.jpg,1,QUIET,resolved
12073/2014_05_24_06_28_00_3,12073,2014_05_24_06_28_00_3,data\raw\SDOBenchmark_full\training\12073\2014_05_24_06_28_00_3,40,data\raw\SDOBenchmark_full\training\12073\2014_05_24_06_28_00_3\2014-05-26T064115__1700.jpg,1,QUIET,resolved
11605/2012_11_07_17_15_00_1,11605,2012_11_07_17_15_00_1,data\raw\SDOBenchmark_full\training\11605\2012_11_07_17_15_00_1,40,data\raw\SDOBenchmark_full\training\11605\2012_11_07_17_15_00_1\2012-11-08T103100__1700.jpg,1,QUIET,resolved
12004/2014_03_12_06_05_00_2,12004,2014_03_12_06_05_00_2,data\raw\SDOBenchmark_full\training\12004\2014_03_12_06_05_00_2,40,data\raw\SDOBenchmark_full\training\12004\2014_03_12_06_05_00_2\2014-03-16T103349__1700.jpg,1,QUIET,resolved
11791/2013_07_16_01_11_16_0,11791,2013_07_16_01_11_16_0,data\raw\SDOBenchmark_full\training\11791\2013_07_16_01_11_16_0,40,data\raw\SDOBenchmark_full\training\11791\2013_07_16_01_11_16_0\2013-07-16T010116__1700.jpg,1,QUIET,resolved
11472/2012_04_30_16_57_00_0,11472,2012_04_30_16_57_00_0,data\raw\SDOBenchmark_full\training\11472\2012_04_30_16_57_00_0,40,data\raw\SDOBenchmark_full\training\11472\2012_04_30_16_57_00_0\2012-04-30T164700__1700.jpg,1,QUIET,resolved
12015/2014_03_24_05_29_01_1,12015,2014_03_24_05_29_01_1,data\raw\SDOBenchmark_full\training\12015\2014_03_24_05_29_01_1,40,data\raw\SDOBenchmark_full\training\12015\2014_03_24_05_29_01_1\2014-03-24T233500__1700.jpg,1,QUIET,resolved
12130/2014_08_01_14_57_00_0,12130,2014_08_01_14_57_00_0,data\raw\SDOBenchmark_full\training\12130\2014_08_01_14_57_00_0,40,data\raw\SDOBenchmark_full\training\12130\2014_08_01_14_57_00_0\2014-08-01T144700__1700.jpg,1,QUIET,resolved
11890/2013_11_14_04_01_01_0,11890,2013_11_14_04_01_01_0,data\raw\SDOBenchmark_full\training\11890\2013_11_14_04_01_01_0,40,data\raw\SDOBenchmark_full\training\11890\2013_11_14_04_01_01_0\2013-11-14T035101__1700.jpg,1,QUIET,resolved
11519/2012_07_07_18_03_01_0,11519,2012_07_07_18_03_01_0,data\raw\SDOBenchmark_full\training\11519\2012_07_07_18_03_01_0,40,data\raw\SDOBenchmark_full\training\11519\2012_07_07_18_03_01_0\2012-07-07T175301__1700.jpg,0,FLARE,resolved
12435/2015_10_18_15_44_00_7,12435,2015_10_18_15_44_00_7,data\raw\SDOBenchmark_full\training\12435\2015_10_18_15_44_00_7,40,data\raw\SDOBenchmark_full\training\12435\2015_10_18_15_44_00_7\2015-10-25T153900__1700.jpg,1,QUIET,resolved
12104/2014_06_30_04_25_59_0,12104,2014_06_30_04_25_59_0,data\raw\SDOBenchmark_full\training\12104\2014_06_30_04_25_59_0,40,data\raw\SDOBenchmark_full\training\12104\2014_06_30_04_25_59_0\2014-06-30T041559__1700.jpg,1,QUIET,resolved
12203/2014_11_08_05_10_00_0,12203,2014_11_08_05_10_00_0,data\raw\SDOBenchmark_full\training\12203\2014_11_08_05_10_00_0,40,data\raw\SDOBenchmark_full\training\12203\2014_11_08_05_10_00_0\2014-11-08T050000__1700.jpg,1,QUIET,resolved
11650/2013_01_13_18_50_01_0,11650,2013_01_13_18_50_01_0,data\raw\SDOBenchmark_full\training\11650\2013_01_13_18_50_01_0,40,data\raw\SDOBenchmark_full\training\11650\2013_01_13_18_50_01_0\2013-01-13T184001__1700.jpg,1,QUIET,resolved
11727/2013_04_25_17_23_00_1,11727,2013_04_25_17_23_00_1,data\raw\SDOBenchmark_full\training\11727\2013_04_25_17_23_00_1,40,data\raw\SDOBenchmark_full\training\11727\2013_04_25_17_23_00_1\2013-04-26T143848__1700.jpg,1,QUIET,resolved
12549/2016_05_30_04_22_00_3,12549,2016_05_30_04_22_00_3,data\raw\SDOBenchmark_full\training\12549\2016_05_30_04_22_00_3,40,data\raw\SDOBenchmark_full\training\12549\2016_05_30_04_22_00_3\2016-05-31T220959__1700.jpg,1,QUIET,resolved
12553/2016_06_11_12_00_00_2,12553,2016_06_11_12_00_00_2,data\raw\SDOBenchmark_full\training\12553\2016_06_11_12_00_00_2,40,data\raw\SDOBenchmark_full\training\12553\2016_06_11_12_00_00_2\2016-06-12T115458__1700.jpg,1,QUIET,resolved
12378/2015_07_04_07_00_01_0,12378,2015_07_04_07_00_01_0,data\raw\SDOBenchmark_full\training\12378\2015_07_04_07_00_01_0,40,data\raw\SDOBenchmark_full\training\12378\2015_07_04_07_00_01_0\2015-07-04T065001__1700.jpg,1,QUIET,resolved
11760/2013_05_30_20_00_01_1,11760,2013_05_30_20_00_01_1,data\raw\SDOBenchmark_full\training\11760\2013_05_30_20_00_01_1,40,data\raw\SDOBenchmark_full\training\11760\2013_05_30_20_00_01_1\2013-05-31T195000__1700.jpg,0,FLARE,resolved
12671/2017_08_22_01_53_01_0,12671,2017_08_22_01_53_01_0,data\raw\SDOBenchmark_full\training\12671\2017_08_22_01_53_01_0,40,data\raw\SDOBenchmark_full\training\12671\2017_08_22_01_53_01_0\2017-08-22T014301__1700.jpg,1,QUIET,resolved
11644/2013_01_08_14_29_00_0,11644,2013_01_08_14_29_00_0,data\raw\SDOBenchmark_full\training\11644\2013_01_08_14_29_00_0,40,data\raw\SDOBenchmark_full\training\11644\2013_01_08_14_29_00_0\2013-01-08T141900__1700.jpg,1,QUIET,resolved
11542/2012_08_15_14_58_44_0,11542,2012_08_15_14_58_44_0,data\raw\SDOBenchmark_full\training\11542\2012_08_15_14_58_44_0,40,data\raw\SDOBenchmark_full\training\11542\2012_08_15_14_58_44_0\2012-08-15T144844__1700.jpg,1,QUIET,resolved
12226/2014_12_06_09_19_01_0,12226,2014_12_06_09_19_01_0,data\raw\SDOBenchmark_full\training\12226\2014_12_06_09_19_01_0,40,data\raw\SDOBenchmark_full\training\12226\2014_12_06_09_19_01_0\2014-12-06T090901__1700.jpg,1,QUIET,resolved
11655/2013_01_10_12_00_00_5,11655,2013_01_10_12_00_00_5,data\raw\SDOBenchmark_full\training\11655\2013_01_10_12_00_00_5,40,data\raw\SDOBenchmark_full\training\11655\2013_01_10_12_00_00_5\2013-01-12T235000__1700.jpg,1,QUIET,resolved
12249/2014_12_27_07_34_01_0,12249,2014_12_27_07_34_01_0,data\raw\SDOBenchmark_full\training\12249\2014_12_27_07_34_01_0,40,data\raw\SDOBenchmark_full\training\12249\2014_12_27_07_34_01_0\2014-12-27T072401__1700.jpg,1,QUIET,resolved
12223/2014_12_01_13_52_01_0,12223,2014_12_01_13_52_01_0,data\raw\SDOBenchmark_full\training\12223\2014_12_01_13_52_01_0,40,data\raw\SDOBenchmark_full\training\12223\2014_12_01_13_52_01_0\2014-12-01T134201__1700.jpg,1,QUIET,resolved
12569/2016_07_19_12_00_00_0,12569,2016_07_19_12_00_00_0,data\raw\SDOBenchmark_full\training\12569\2016_07_19_12_00_00_0,40,data\raw\SDOBenchmark_full\training\12569\2016_07_19_12_00_00_0\2016-07-19T115000__1700.jpg,1,QUIET,resolved
12614/2016_12_01_05_26_00_3,12614,2016_12_01_05_26_00_3,data\raw\SDOBenchmark_full\training\12614\2016_12_01_05_26_00_3,40,data\raw\SDOBenchmark_full\training\12614\2016_12_01_05_26_00_3\2016-12-03T234959__1700.jpg,1,QUIET,resolved
12313/2015_03_26_09_43_00_6,12313,2015_03_26_09_43_00_6,data\raw\SDOBenchmark_full\training\12313\2015_03_26_09_43_00_6,39,data\raw\SDOBenchmark_full\training\12313\2015_03_26_09_43_00_6\2015-03-29T150039__335.jpg,1,QUIET,resolved
11649/2013_01_08_14_29_00_4,11649,2013_01_08_14_29_00_4,data\raw\SDOBenchmark_full\training\11649\2013_01_08_14_29_00_4,40,data\raw\SDOBenchmark_full\training\11649\2013_01_08_14_29_00_4\2013-01-11T080103__1700.jpg,1,QUIET,resolved
12674/2017_09_05_02_22_00_9,12674,2017_09_05_02_22_00_9,data\raw\SDOBenchmark_full\training\12674\2017_09_05_02_22_00_9,40,data\raw\SDOBenchmark_full\training\12674\2017_09_05_02_22_00_9\2017-09-11T234959__1700.jpg,1,QUIET,resolved
11721/2013_04_12_10_13_00_5,11721,2013_04_12_10_13_00_5,data\raw\SDOBenchmark_full\training\11721\2013_04_12_10_13_00_5,40,data\raw\SDOBenchmark_full\training\11721\2013_04_12_10_13_00_5\2013-04-15T112550__1700.jpg,1,QUIET,resolved
11738/2013_05_07_00_22_01_0,11738,2013_05_07_00_22_01_0,data\raw\SDOBenchmark_full\training\11738\2013_05_07_00_22_01_0,40,data\raw\SDOBenchmark_full\training\11738\2013_05_07_00_22_01_0\2013-05-07T001201__1700.jpg,1,QUIET,resolved
12401/2015_08_15_12_56_00_0,12401,2015_08_15_12_56_00_0,data\raw\SDOBenchmark_full\training\12401\2015_08_15_12_56_00_0,40,data\raw\SDOBenchmark_full\training\12401\2015_08_15_12_56_00_0\2015-08-15T124600__1700.jpg,1,QUIET,resolved
11621/2012_12_06_05_19_01_0,11621,2012_12_06_05_19_01_0,data\raw\SDOBenchmark_full\training\11621\2012_12_06_05_19_01_0,40,data\raw\SDOBenchmark_full\training\11621\2012_12_06_05_19_01_0\2012-12-06T050901__1700.jpg,1,QUIET,resolved
11723/2013_04_14_14_03_01_0,11723,2013_04_14_14_03_01_0,data\raw\SDOBenchmark_full\training\11723\2013_04_14_14_03_01_0,40,data\raw\SDOBenchmark_full\training\11723\2013_04_14_14_03_01_0\2013-04-14T135301__1700.jpg,1,QUIET,resolved
12181/2014_10_07_23_40_00_0,12181,2014_10_07_23_40_00_0,data\raw\SDOBenchmark_full\training\12181\2014_10_07_23_40_00_0,40,data\raw\SDOBenchmark_full\training\12181\2014_10_07_23_40_00_0\2014-10-07T233000__1700.jpg,1,QUIET,resolved
12290/2015_02_27_13_40_01_1,12290,2015_02_27_13_40_01_1,data\raw\SDOBenchmark_full\training\12290\2015_02_27_13_40_01_1,40,data\raw\SDOBenchmark_full\training\12290\2015_02_27_13_40_01_1\2015-02-28T045914__1700.jpg,1,QUIET,resolved
11647/2013_01_05_12_00_00_2,11647,2013_01_05_12_00_00_2,data\raw\SDOBenchmark_full\training\11647\2013_01_05_12_00_00_2,40,data\raw\SDOBenchmark_full\training\11647\2013_01_05_12_00_00_2\2013-01-06T234959__1700.jpg,1,QUIET,resolved
12456/2015_11_19_12_00_00_4,12456,2015_11_19_12_00_00_4,data\raw\SDOBenchmark_full\training\12456\2015_11_19_12_00_00_4,40,data\raw\SDOBenchmark_full\training\12456\2015_11_19_12_00_00_4\2015-11-23T234959__1700.jpg,1,QUIET,resolved
11571/2012_09_15_19_04_03_0,11571,2012_09_15_19_04_03_0,data\raw\SDOBenchmark_full\training\11571\2012_09_15_19_04_03_0,38,data\raw\SDOBenchmark_full\training\11571\2012_09_15_19_04_03_0\2012-09-15T185403__1700.jpg,1,QUIET,resolved
12443/2015_11_04_20_09_01_0,12443,2015_11_04_20_09_01_0,data\raw\SDOBenchmark_full\training\12443\2015_11_04_20_09_01_0,40,data\raw\SDOBenchmark_full\training\12443\2015_11_04_20_09_01_0\2015-11-04T195901__1700.jpg,1,QUIET,resolved
12406/2015_08_30_12_00_00_3,12406,2015_08_30_12_00_00_3,data\raw\SDOBenchmark_full\training\12406\2015_08_30_12_00_00_3,38,data\raw\SDOBenchmark_full\training\12406\2015_08_30_12_00_00_3\2015-09-01T073210__1700.jpg,1,QUIET,resolved
12337/2015_05_09_02_21_00_1,12337,2015_05_09_02_21_00_1,data\raw\SDOBenchmark_full\training\12337\2015_05_09_02_21_00_1,40,data\raw\SDOBenchmark_full\training\12337\2015_05_09_02_21_00_1\2015-05-10T235000__1700.jpg,1,QUIET,resolved
11982/2014_02_26_22_12_01_0,11982,2014_02_26_22_12_01_0,data\raw\SDOBenchmark_full\training\11982\2014_02_26_22_12_01_0,40,data\raw\SDOBenchmark_full\training\11982\2014_02_26_22_12_01_0\2014-02-26T220201__1700.jpg,1,QUIET,resolved
12497/2016_02_10_15_33_59_0,12497,2016_02_10_15_33_59_0,data\raw\SDOBenchmark_full\training\12497\2016_02_10_15_33_59_0,40,data\raw\SDOBenchmark_full\training\12497\2016_02_10_15_33_59_0\2016-02-10T152359__1700.jpg,1,QUIET,resolved
12209/2014_11_22_17_14_41_0,12209,2014_11_22_17_14_41_0,data\raw\SDOBenchmark_full\training\12209\2014_11_22_17_14_41_0,40,data\raw\SDOBenchmark_full\training\12209\2014_11_22_17_14_41_0\2014-11-22T170441__1700.jpg,1,QUIET,resolved
12626/2017_01_18_18_39_00_2,12626,2017_01_18_18_39_00_2,data\raw\SDOBenchmark_full\training\12626\2017_01_18_18_39_00_2,40,data\raw\SDOBenchmark_full\training\12626\2017_01_18_18_39_00_2\2017-01-20T024914__1700.jpg,1,QUIET,resolved
12226/2014_12_06_09_19_01_1,12226,2014_12_06_09_19_01_1,data\raw\SDOBenchmark_full\training\12226\2014_12_06_09_19_01_1,40,data\raw\SDOBenchmark_full\training\12226\2014_12_06_09_19_01_1\2014-12-06T235000__1700.jpg,1,QUIET,resolved
12434/2015_10_18_13_43_01_0,12434,2015_10_18_13_43_01_0,data\raw\SDOBenchmark_full\training\12434\2015_10_18_13_43_01_0,40,data\raw\SDOBenchmark_full\training\12434\2015_10_18_13_43_01_0\2015-10-18T133301__1700.jpg,1,QUIET,resolved
12050/2014_05_06_13_02_00_0,12050,2014_05_06_13_02_00_0,data\raw\SDOBenchmark_full\training\12050\2014_05_06_13_02_00_0,40,data\raw\SDOBenchmark_full\training\12050\2014_05_06_13_02_00_0\2014-05-06T125200__1700.jpg,1,QUIET,resolved
12524/2016_03_27_11_33_00_1,12524,2016_03_27_11_33_00_1,data\raw\SDOBenchmark_full\training\12524\2016_03_27_11_33_00_1,40,data\raw\SDOBenchmark_full\training\12524\2016_03_27_11_33_00_1\2016-03-28T021800__1700.jpg,1,QUIET,resolved
12109/2014_07_12_09_03_01_0,12109,2014_07_12_09_03_01_0,data\raw\SDOBenchmark_full\training\12109\2014_07_12_09_03_01_0,40,data\raw\SDOBenchmark_full\training\12109\2014_07_12_09_03_01_0\2014-07-12T085301__1700.jpg,1,QUIET,resolved
12562/2016_07_12_14_44_01_0,12562,2016_07_12_14_44_01_0,data\raw\SDOBenchmark_full\training\12562\2016_07_12_14_44_01_0,40,data\raw\SDOBenchmark_full\training\12562\2016_07_12_14_44_01_0\2016-07-12T143401__1700.jpg,1,QUIET,resolved
12341/2015_05_09_02_21_00_5,12341,2015_05_09_02_21_00_5,data\raw\SDOBenchmark_full\training\12341\2015_05_09_02_21_00_5,40,data\raw\SDOBenchmark_full\training\12341\2015_05_09_02_21_00_5\2015-05-11T231111__1700.jpg,1,QUIET,resolved
12373/2015_07_02_03_58_01_1,12373,2015_07_02_03_58_01_1,data\raw\SDOBenchmark_full\training\12373\2015_07_02_03_58_01_1,40,data\raw\SDOBenchmark_full\training\12373\2015_07_02_03_58_01_1\2015-07-03T034800__1700.jpg,1,QUIET,resolved
12303/2015_03_29_01_52_01_1,12303,2015_03_29_01_52_01_1,data\raw\SDOBenchmark_full\training\12303\2015_03_29_01_52_01_1,40,data\raw\SDOBenchmark_full\training\12303\2015_03_29_01_52_01_1\2015-03-29T235000__1700.jpg,1,QUIET,resolved
12391/2015_07_28_12_00_00_0,12391,2015_07_28_12_00_00_0,data\raw\SDOBenchmark_full\training\12391\2015_07_28_12_00_00_0,40,data\raw\SDOBenchmark_full\training\12391\2015_07_28_12_00_00_0\2015-07-28T115000__1700.jpg,1,QUIET,resolved
12021/2014_04_04_15_00_00_0,12021,2014_04_04_15_00_00_0,data\raw\SDOBenchmark_full\training\12021\2014_04_04_15_00_00_0,40,data\raw\SDOBenchmark_full\training\12021\2014_04_04_15_00_00_0\2014-04-04T145000__1700.jpg,1,QUIET,resolved
12277/2015_02_07_21_04_01_0,12277,2015_02_07_21_04_01_0,data\raw\SDOBenchmark_full\training\12277\2015_02_07_21_04_01_0,40,data\raw\SDOBenchmark_full\training\12277\2015_02_07_21_04_01_0\2015-02-07T205401__1700.jpg,1,QUIET,resolved
12547/2016_05_20_12_00_00_0,12547,2016_05_20_12_00_00_0,data\raw\SDOBenchmark_full\training\12547\2016_05_20_12_00_00_0,40,data\raw\SDOBenchmark_full\training\12547\2016_05_20_12_00_00_0\2016-05-20T115000__1700.jpg,1,QUIET,resolved
11976/2014_02_18_01_40_00_0,11976,2014_02_18_01_40_00_0,data\raw\SDOBenchmark_full\training\11976\2014_02_18_01_40_00_0,40,data\raw\SDOBenchmark_full\training\11976\2014_02_18_01_40_00_0\2014-02-18T013000__1700.jpg,1,QUIET,resolved
12444/2015_10_30_12_00_00_1,12444,2015_10_30_12_00_00_1,data\raw\SDOBenchmark_full\training\12444\2015_10_30_12_00_00_1,40,data\raw\SDOBenchmark_full\training\12444\2015_10_30_12_00_00_1\2015-10-30T235000__1700.jpg,1,QUIET,resolved
11420/2012_02_13_12_00_00_4,11420,2012_02_13_12_00_00_4,data\raw\SDOBenchmark_full\training\11420\2012_02_13_12_00_00_4,30,data\raw\SDOBenchmark_full\training\11420\2012_02_13_12_00_00_4\2012-02-21T144931__1700.jpg,1,QUIET,resolved
11746/2013_05_13_04_36_00_2,11746,2013_05_13_04_36_00_2,data\raw\SDOBenchmark_full\training\11746\2013_05_13_04_36_00_2,40,data\raw\SDOBenchmark_full\training\11746\2013_05_13_04_36_00_2\2013-05-17T081659__1700.jpg,1,QUIET,resolved
12150/2014_08_24_11_18_01_1,12150,2014_08_24_11_18_01_1,data\raw\SDOBenchmark_full\training\12150\2014_08_24_11_18_01_1,40,data\raw\SDOBenchmark_full\training\12150\2014_08_24_11_18_01_1\2014-08-25T110800__1700.jpg,1,QUIET,resolved
12310/2015_03_27_06_55_01_0,12310,2015_03_27_06_55_01_0,data\raw\SDOBenchmark_full\training\12310\2015_03_27_06_55_01_0,40,data\raw\SDOBenchmark_full\training\12310\2015_03_27_06_55_01_0\2015-03-27T064501__1700.jpg,1,QUIET,resolved
12209/2014_11_21_01_01_01_0,12209,2014_11_21_01_01_01_0,data\raw\SDOBenchmark_full\training\12209\2014_11_21_01_01_01_0,40,data\raw\SDOBenchmark_full\training\12209\2014_11_21_01_01_01_0\2014-11-21T005101__1700.jpg,1,QUIET,resolved
